Epoch,Training loss,Validation loss,Validation accuracy
1,0.33743438963375727,0.2469556002765894,0.9065
2,0.29006126546595595,0.23607051703333853,0.9205
3,0.2648282537528424,0.21277373905479907,0.926
4,0.24500396385588027,0.19031486088782548,0.937
5,0.23042080238559318,0.21001596082374455,0.9335
6,0.21333880530261182,0.18289967191591858,0.943
7,0.20281541530088434,0.17473447461426259,0.945
8,0.19236894095474066,0.1879210029989481,0.9375
9,0.18250324415919836,0.17186382257565855,0.9465
10,0.16932136152369398,0.17276500944793224,0.947
