Epoch,Training loss,Validation loss,Validation accuracy
1,0.5857577590209494,0.6882249507904052,0.5505
2,0.6913833379258424,0.7506616373062134,0.5505
3,0.6903100039846255,0.688042688369751,0.5505
4,0.6958439111933971,0.6880359272956849,0.5505
5,0.6952092531770863,0.688330440044403,0.5505
6,0.689050621389987,0.694100206375122,0.5505
7,0.6930619156620209,0.6895893263816834,0.5505
8,0.6891747302535765,0.6888330397605896,0.5505
9,0.6880802899463628,0.6883977255821228,0.5505
10,0.6867978139134084,0.6889271535873414,0.5505
